Year,Rank,Name,Position,Ht,Wt,Composite,Stars,School,Sports-Ref Link,RealGM Link,
2003,44,Dwight Brewington,PG,6-5,195,0.9791,4 Stars,Providence,/cbb/players/dwight-brewington-1.html,/player/Dwight-Brewington/Summary/2606,2003.44
2003,45,Wesley Green,C,6-9,260,0.9791,4 Stars,DePaul,/cbb/players/wesley-green-1.html,/player/Wesley-Green/Summary/6064,2003.45
2003,46,Ayinde Ubaka,PG,6-3,188,0.9789,4 Stars,California,/cbb/players/ayinde-ubaka-1.html,/player/Ayinde-Ubaka/Summary/2396,2003.46
2003,47,Brian Randle,SF,6-8,192,0.9785,4 Stars,Illinois,/cbb/players/brian-randle-1.html,/player/Brian-Randle/Summary/1917,2003.47
2003,48,Major Wingate,C,6-9,245,0.9777,4 Stars,Tennessee,/cbb/players/major-wingate-1.html,/player/Major-Wingate/Summary/2028,2003.48
2003,49,Omar Wilkes,SG,6-4,180,0.9773,4 Stars,Kansas,/cbb/players/omar-wilkes-1.html,/player/Omar-Wilkes/Summary/5339,2003.49
2003,50,Brandon Jenkins,PG,6-4,165,0.9773,4 Stars,Louisville,/cbb/players/brandon-jenkins-1.html,/player/Brandon-Jenkins/Summary/6135,2003.50
2003,51,Josh Boone,PF,6-8,205,0.9765,4 Stars,Connecticut,/cbb/players/josh-boone-1.html,/player/Josh-Boone/Summary/81,2003.51
2003,52,Marcus Williams,PG,6-2,185,0.9759,4 Stars,Connecticut,/cbb/players/marcus-williams-1.html,/player/Marcus-D-Williams/Summary/77,2003.52
2003,53,Tim Morris,SG,6-4,195,0.9749,4 Stars,Stanford,/cbb/players/tim-morris-1.html,/player/Tim-Morris/Summary/6869,2003.53
2003,54,Hassan Fofana,C,6-9,260,0.9735,4 Stars,Maryland,/cbb/players/hassan-fofana-1.html,/player/Hassan-Fofana/Summary/4928,2003.54
2003,55,Gary Forbes,SF,6-6,190,0.9727,4 Stars,Virginia,/cbb/players/gary-forbes-1.html,/player/Gary-Forbes/Summary/1726,2003.55
2003,56,Brent Petway,PF,6-8,195,0.9725,4 Stars,Michigan,/cbb/players/brent-petway-1.html,/player/Brent-Petway/Summary/921,2003.56
2003,57,Reyshawn Terry,SF,6-7,205,0.9725,4 Stars,North Carolina,/cbb/players/reyshawn-terry-1.html,/player/Reyshawn-Terry/Summary/24,2003.57
2003,58,Drew Naymick,C,6-10,230,0.9723,4 Stars,Michigan State,/cbb/players/drew-naymick-1.html,/player/Drew-Naymick/Summary/2525,2003.58
2003,59,Matt Causey,PG,5-11,170,0.9711,4 Stars,Georgetown,/cbb/players/matt-causey-1.html,/player/Matt-Causey/Summary/4379,2003.59
2003,60,Mike Nardi,PG,6-2,162,0.9705,4 Stars,Villanova,/cbb/players/mike-nardi-1.html,/player/Mike-Nardi/Summary/2006,2003.60
2003,61,Jermareo Davidson,PF,6-10,220,0.9705,4 Stars,Alabama,/cbb/players/jermareo-davidson-1.html,/player/Jermareo-Davidson/Summary/5,2003.61
2003,62,J.R. Reynolds,SG,6-3,180,0.9695,4 Stars,Virginia,/cbb/players/jr-reynolds-2.html,/player/JR-Reynolds/Summary/3808,2003.62
2003,63,Will Bowers,C,7-1,250,0.9693,4 Stars,Maryland,/cbb/players/will-bowers-1.html,/player/Will-Bowers/Summary/4387,2003.63
2003,64,Louie McCroskey,SG,6-5,185,0.9689,4 Stars,Syracuse,/cbb/players/louie-mccroskey-1.html,/player/Louie-McCroskey/Summary/6543,2003.64
2003,65,Akini Akini,PF,6-10,205,0.9687,4 Stars,Alabama,/cbb/players/akini-akini-1.html,/player/Akini-Akini/Summary/5519,2003.65
2003,66,Shagari Alleyne,C,7-3,255,0.9687,4 Stars,Kentucky,/cbb/players/shagari-alleyne-1.html,/player/Shagari-Alleyne/Summary/1982,2003.66
2003,67,Brandon Foust,PF,6-6,185,0.9673,4 Stars,Oklahoma,/cbb/players/brandon-foust-1.html,/player/Brandon-Foust/Summary/2527,2003.67
2003,68,Marquis Webb,SG,6-3,185,0.9671,4 Stars,Rutgers,/cbb/players/marquis-webb-1.html,/player/Marquis-Webb/Summary/6343,2003.68
2003,69,Quinton Day,PG,6-1,180,0.9665,4 Stars,USC,/cbb/players/quinton-day-1.html,/player/Quinton-Day/Summary/6952,2003.69
2003,70,Warren Carter,PF,6-9,220,0.9659,4 Stars,Illinois,/cbb/players/warren-carter-1.html,/player/Warren-Carter/Summary/1698,2003.70
2003,71,P.J. Tucker,PF,6-5,240,0.9657,4 Stars,Texas,/cbb/players/pj-tucker-1.html,/player/PJ-Tucker/Summary/100,2003.71
2003,72,Keith Wooden,PF,6-8,220,0.9655,4 Stars,Arizona State,/cbb/players/keith-wooden-1.html,/player/Keith-Wooden/Summary/6704,2003.72
2003,73,Dominic McGuire,SF,6-7,195,0.9651,4 Stars,California,/cbb/players/dominic-mcguire-1.html,/player/Dominic-McGuire/Summary/23,2003.73
2003,74,Longar Longar,PF,6-10,200,0.9651,4 Stars,Oklahoma,/cbb/players/longar-longar-1.html,/player/Longar-Longar/Summary/1802,2003.74
2003,75,Lanny Smith,PG,6-3,165,0.9641,4 Stars,Houston,/cbb/players/lanny-smith-1.html,/player/Lanny-Smith/Summary/1869,2003.75
2003,76,Lawrence McKenzie,PG,6-2,175,0.9637,4 Stars,Oklahoma,/cbb/players/lawrence-mckenzie-1.html,/player/Lawrence-McKenzie/Summary/4036,2003.76
2003,77,Renaldo Balkman,SF,6-6,190,0.9637,4 Stars,South Carolina,/cbb/players/renaldo-balkman-1.html,/player/Renaldo-Balkman/Summary/92,2003.77
2003,78,Tyler Relph,PG,6-1,165,0.9624,4 Stars,West Virginia,/cbb/players/tyler-relph-1.html,/player/Tyler-Relph/Summary/3601,2003.78
2003,79,Pat Ewing,PF,6-8,215,0.9616,4 Stars,Indiana,/cbb/players/pat-ewing-1.html,/player/Pat-Ewing/Summary/799,2003.79
2003,80,Konimba Diarra,C,6-10,230,0.9612,4 Stars,South Florida,/cbb/players/konimba-diarra-1.html,/player/Konimba-Diarra/Summary/6446,2003.80
2003,81,Corey Gibbs,PF,6-6,235,0.961,4 Stars,Georgia,/cbb/players/corey-gibbs-1.html,/player/Corey-Gibbs/Summary/5688,2003.81
2003,82,Sammy Mejia,SF,6-6,195,0.9608,4 Stars,DePaul,/cbb/players/sammy-mejia-1.html,/player/Sammy-Mejia/Summary/30,2003.82
2003,83,Marcus Slaughter,PF,6-8,180,0.9606,4 Stars,San Diego State,/cbb/players/marcus-slaughter-1.html,/player/Marcus-Slaughter/Summary/891,2003.83
2003,84,D.J. Strawberry,SG,6-5,180,0.9596,4 Stars,Maryland,/cbb/players/dj-strawberry-1.html,/player/DJ-Strawberry/Summary/15,2003.84
2003,85,Alexander Johnson,PF,6-9,230,0.9456,4 Stars,Florida State,/cbb/players/alexander-johnson-1.html,/player/Alexander-Johnson/Summary/110,2003.85
2003,86,Ra'shun Bryant,C,6-9,250,0.945,4 Stars,Tennessee Tech,/cbb/players/rashun-bryant-1.html,/player/Rashun-Bryant/Summary/11834,2003.86
2003,87,Wesley Washington,SG,6-3,170,0.9414,4 Stars,Oregon State,/cbb/players/wesley-washington-1.html,/player/Wesley-Washington/Summary/6824,2003.87
2003,88,Quincy Douby,SG,6-3,170,0.9398,4 Stars,Rutgers,/cbb/players/quincy-douby-1.html,/player/Quincy-Douby/Summary/74,2003.88
2003,89,Will Sheridan,PF,6-8,240,0.9386,4 Stars,Villanova,/cbb/players/will-sheridan-1.html,/player/Will-Sheridan/Summary/6573,2003.89
2003,90,Kenny Harris,C,6-10,320,0.9349,4 Stars,Valparaiso,/cbb/players/kenny-harris-2.html,/player/Kenny-Harris/Summary/15785,2003.90
2003,91,Lamont Hamilton,C,6-9,225,0.9319,4 Stars,St. John's,/cbb/players/lamont-hamilton-1.html,/player/Lamont-Hamilton/Summary/6496,2003.91
2003,92,Gerald Brown,SG,6-4,185,0.9289,4 Stars,Providence,/cbb/players/gerald-brown-1.html,/player/Gerald-Brown/Summary/6300,2003.92
2003,93,Colin Falls,SG,6-3,190,0.9275,4 Stars,Notre Dame,/cbb/players/colin-falls-1.html,/player/Colin-Falls/Summary/6208,2003.93
2003,94,Mitch Platt,PF,6-10,260,0.9269,4 Stars,Oregon,/cbb/players/mitch-platt-1.html,/player/Mitch-Platt/Summary/6781,2003.94
2003,95,Kirk Walters,C,6-10,210,0.9263,4 Stars,Arizona,/cbb/players/kirk-walters-1.html,/player/Kirk-Walters/Summary/6658,2003.95
2003,96,Wayne Marshall,C,6-10,230,0.9259,4 Stars,Temple,/cbb/players/wayne-marshall-1.html,/player/Wayne-Marshall/Summary/10896,2003.96
2003,97,Art Bowers,SG,6-4,190,0.9211,4 Stars,Massachusetts,/cbb/players/art-bowers-1.html,/player/Art-Bowers/Summary/10603,2003.97
