Name,RealGM ID,Height (inches),Wingspan (inches),Standing Reach (inches),Weight (lbs)
Rokas Gustys ,32725,81,N/A,N/A,260
Elijah Minnie ,81088,81,N/A,N/A,200
Bryson Scott ,56679,73,N/A,N/A,210
MiKyle McIntosh ,52287,79,82,N/A,240
Shannon Evans ,57374,72,76,96.5,170
Frank Booker ,56871,75,N/A,N/A,208
Emmett Naar ,37841,73,N/A,N/A,195
Andrew Rowsey ,58121,71,72.5,96.5,176
Rodney Bullock ,28232,80,83.5,106,222
Vladimir Brodziansky ,48396,82,83.5,108,220
Jo Acuil ,112853,83,88,112,229
Duncan Robinson ,79772,80,N/A,N/A,215
Kassius Robertson ,58261,75,N/A,N/A,180
Braian Angola-Rodas ,42064,78,N/A,N/A,195
Robert Gray Jr.,24694,73.25,76,96.5,187.5
Frank Bartley ,57583,75,N/A,N/A,215
Shaquille Morris ,57204,79.5,85.5,101.5,266
George King ,56831,78,84,102,212
Kyle Washington ,41435,81.25,85,107,221
David Collette ,30466,82,N/A,N/A,220
Zach Lofton ,57172,76,79,101,190
Jay Huff ,106525,85,N/A,N/A,230
Che Bob ,109465,78,N/A,N/A,220
Zane Martin ,107043,76,N/A,N/A,205
Nick Dixon ,97619,74,N/A,N/A,175
Anthony Wilson ,109309,77,N/A,N/A,221
Charles Williams ,107286,78,N/A,N/A,185
Ryan Taylor ,80727,78,N/A,N/A,195
Jahlil Tripp ,107314,77,N/A,N/A,190
  ,,,,,
  ,,,,,
  ,,,,,
