Name,RealGM ID,Height (inches),Wingspan (inches),Standing Reach (inches),Weight (lbs)
Grant Williams ,89395,77,N/A,N/A,234
Jeremiah Tilmon ,88907,82.5,85.5,N/A,258
Jalen Sanders ,88871,77,N/A,N/A,180
Rayshaun Hammonds ,104917,81,83,N/A,221
Marcus Garrett ,106505,77,N/A,N/A,180
Isaiah Miller ,122248,72,N/A,N/A,180
Taylor Funk ,105815,81,N/A,N/A,225
Nick Weatherspoon ,105368,74,N/A,N/A,198
Takal Molson ,121905,77,N/A,N/A,205
Darius McNeill ,121453,75,N/A,N/A,175
McKinley Wright IV,118870,72,N/A,N/A,185
Jordan Goodwin ,88801,75.5,82,N/A,218
Colbey Ross ,88865,73,N/A,N/A,180
Ray Ona Embo ,112826,77,N/A,N/A,188
Jericho Sims ,105383,81,N/A,N/A,240
Silvio De Sousa ,76253,80,82,105.5,245
Herb Jones ,105363,80,84,N/A,200
Makai Ashton-Langford ,85956,74,N/A,N/A,185
Brian Bowen ,81678,79.5,81,103.5,194
Daniel Gafford ,97090,83,86,N/A,234
Kevin Anderson ,121967,77,N/A,N/A,180
Oscar Da Silva ,107216,82,85,N/A,209
Felipe Haase ,52203,81,N/A,N/A,249
Brady Manek ,88817,81,N/A,N/A,210
Nickeil Alexander-Walker ,95702,77.5,81,101,191
Brandon Randolph ,106502,78,N/A,N/A,183
Jhivvan Jackson ,108411,72,N/A,N/A,160
Malik Williams ,88925,83,N/A,N/A,215
Markell Johnson ,88807,73,75,N/A,165
PJ Washington ,81703,80,87,105,237
Chuma Okeke ,88842,80,84,N/A,233
Sacha Killeya-Jones ,86013,83,86,110,229
Jalyn Hinton ,122090,77,N/A,N/A,195
Hamidou Diallo ,88100,77,83,101.5,199
Chris Lykes ,76746,67,N/A,N/A,160
Geo Baker ,121325,76,N/A,N/A,180
Jacob Gilyard ,121600,69,N/A,N/A,160
Justin Pierce ,106728,79,80.5,N/A,215
Mitchell Ballock ,87272,77,N/A,N/A,205
Ike Obiagu ,88841,85,89.25,112.5,241
Desmond Bane ,107663,77,76,N/A,219
Oshae Brissett ,87282,81,83,105,210
Omer Yurtseven ,53794,83.75,85,108.5,248
Lamar Peters ,92818,72,N/A,N/A,184
Anfernee McLemore ,107461,79,N/A,N/A,220
Remy Martin ,88819,72,N/A,N/A,170
Trent Forrest ,85602,76.5,79.5,N/A,194
Brandon McCoy ,88822,84.5,86.25,109.5,250
Armoni Brooks ,107102,75,N/A,N/A,185
Austin Reaves ,106995,77,N/A,N/A,174
Jordan Usher ,108151,79,N/A,N/A,220
Kostas Antetokounmpo ,93018,81.75,85.75,107.5,188
Quade Green ,88115,72,73.25,93.5,180
Romello White ,76389,80,N/A,N/A,235
David Jenkins Jr.,85693,74,N/A,N/A,190
Makuach Maluach ,121683,77,N/A,N/A,205
Jalek Felton ,76234,75,80,N/A,188
Roberts Blumbergs ,75725,82,N/A,N/A,220
Marques Bolden ,74080,83,89,111,251
Kenny Wooten ,107462,81,N/A,N/A,220
Marek Dolezaj ,54130,81,N/A,N/A,180
Jerrick Harding ,106805,73,N/A,N/A,170
Javin DeLaurier ,89383,81,84,106,231
M.J. Walker ,88914,78,80,N/A,205
Lindell Wigginton ,76942,74.25,75.5,97,186
Paul Scruggs ,88876,76,N/A,N/A,195
Killian Tillie ,77639,82,N/A,N/A,215
Cassius Winston ,74073,72,76,N/A,185
Tristan Clark ,87286,81,N/A,N/A,240
Devontae Shuler ,88884,74,N/A,N/A,192
Rui Hachimura ,72649,80,86,N/A,225
Cartier Diarra ,106938,76,N/A,N/A,190
Henry Baddley ,107323,76,N/A,N/A,175
Isaiah Roby ,86028,80,87,N/A,226
Kevin McKay ,106958,77,N/A,N/A,222
Payton Pritchard ,59506,74,76,95,206
Quinton Rose ,89406,80,80,101,180
Naji Marshall ,118831,79,N/A,N/A,218
Matt Coleman ,81682,73,77,N/A,174
Anthony Lamb ,87247,78,N/A,N/A,227
Denzel Mahoney ,106754,76,N/A,N/A,213
Dikymbe Martin ,85732,73,76,N/A,165
Grant Golden ,89405,82,N/A,N/A,260
Oscar Frayer ,85700,78,N/A,N/A,191
Chris Lewis ,85601,81,85.5,105,242
David Caraher ,88788,78,N/A,N/A,220
