name,year,playerid,height_no_shoes,height_shoes,weight,wingspan,st_reach,body_fat,hand_len,hand_width,no_step_vert,no_step_vert_reach,max_vert,max_vert_reach,bench,agility,sprint
Abdel Kader Sylla,2011,/player/Abdel-Sylla/Summary/24388,79.53,80.71,219,88.98,106.3,7.6,NA,NA,23.8,130.1,31.6,137.9,NA,NA,3.41
Abdoulaye Loum,2012,/player/Abdoulaye-Loum/Summary/29305,81.25,82,208,87,110.5,NA,NA,NA,27.5,138,30,140.5,NA,13.36,3.53
Abdul Ado,2015,/player/Abdul-Ado/Summary/76385,NA,83,235,87.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Abdul Gaddy,2013,/player/Abdul-Gaddy/Summary/2211,74.5,NA,195,79.5,99.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Abdul-Malik Abu,2012,/player/Abdul-Malik-Abu/Summary/52541,78,NA,226,86,106,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Abdul-Malik Abu,2013,/player/Abdul-Malik-Abu/Summary/52541,NA,80,232,85,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Abdul-Malik Abu,2013,/player/Abdul-Malik-Abu/Summary/52541,NA,80,232,85,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Abdul-Malik Abu,2015,/player/Abdul-Malik-Abu/Summary/52541,78.5,NA,245,87,103,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Abdul-Malik Abu,2016,/player/Abdul-Malik-Abu/Summary/52541,78.5,NA,240,87,106.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Abdoulaye Mbaye,2009,/player/Abodulaye-MBaye/Summary/24886,72.75,73.75,211,77.75,99,NA,NA,NA,28,127,30,129,NA,NA,3.57
Abdoulaye Mbaye,2010,/player/Abodulaye-MBaye/Summary/24886,72.83,74.41,212,77.95,98.03,NA,NA,NA,30.3,128.33,34.6,132.63,NA,NA,NA
Abu Kigab,2015,/player/Abu-Kigab/Summary/92768,77,NA,205,80.75,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Acie Law,2007,/player/Acie-Law/Summary/38,74,75.5,186,78.5,98,5.6,NA,NA,29,127,34,132,8,11,3.22
Acoydan McCarthy,2014,/player/Acoydan-McCarthy/Summary/72291,NA,NA,NA,NA,NA,NA,NA,NA,23.5,NA,30.5,NA,NA,11.35,3.45
Acoydan McCarthy,2015,/player/Acoydan-McCarthy/Summary/72291,76.5,77.5,166,78.5,102,NA,NA,NA,25.5,127.5,32,134,NA,NA,3.49
Adam Haluska,2007,/player/Adam-Haluska/Summary/353,76.5,77.5,210,80.75,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Adam Hanga,2009,/player/Adam-Hanga/Summary/2567,77.5,78.5,193,80,103,NA,NA,NA,NA,NA,38,141,NA,NA,3.42
Adam Hanga,2011,/player/Adam-Hanga/Summary/2567,77.56,78.74,198,79.53,100.79,6.8,NA,NA,27.1,127.89,34.5,135.29,NA,NA,3.24
Adam Koch,2010,/player/Adam-Koch/Summary/7453,80,NA,229,84.25,105.75,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Adam Lapeta,2009,/player/Adam-Lapeta/Summary/28630,84.25,85.5,283,85.5,111,NA,NA,NA,24,135,30,141,NA,NA,3.71
Adam Morrison,2006,/player/Adam-Morrison/Summary/67,78.5,79.75,198,82,105,6.8,NA,NA,25.5,130.5,30.5,135.5,11,11.46,3.37
Adam Woodbury,2011,/player/Adam-Woodbury/Summary/24650,NA,84,222,81,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Adam Woodbury,2011,/player/Adam-Woodbury/Summary/24650,NA,84,222,81,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Adin Vrabac,2013,/player/Adin-Vrabac/Summary/32814,79,80,198,81.75,105,NA,NA,NA,26,131,29,134,NA,10.64,3.44
Adin Vrabac,2014,/player/Adin-Vrabac/Summary/32814,79,80,194,80.75,104.5,NA,NA,NA,27.5,132,29.5,134,NA,10.29,3.33
Adin Vrabac,2015,/player/Adin-Vrabac/Summary/32814,79,80,198,81,105,NA,NA,NA,27,132,31,136,NA,NA,3.33
Adjehi Baru,2010,/player/Adjehi-Baru/Summary/24193,81,NA,215,89,109,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Admon Gilder,2016,/player/Admon-Gilder/Summary/83905,74,NA,199.6,77.5,99.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Adonis De La Rosa,2012,/player/Adonis-De-La-Rosa/Summary/71579,81.5,NA,317,85.25,110,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Adonis Thomas,2009,/player/Adonis-Thomas/Summary/24150,NA,77,204,84,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Adonis Thomas,2012,/player/Adonis-Thomas/Summary/24150,NA,78,241,84,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Adonis Thomas,2013,/player/Adonis-Thomas/Summary/24150,76.75,77.75,232,85,99,7.5,9.25,9.5,34.5,133.5,40.5,139.5,13,11.66,3.32
Adonis Thomas,2015,/player/Adonis-Thomas/Summary/24150,77,78.25,242,84.5,102,NA,NA,NA,29,131,32.5,134.5,NA,12.35,3.62
Adonys Henriquez,2013,/player/Adonys-Henriquez/Summary/42073,NA,79,205,81,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Adonys Henriquez,2013,/player/Adonys-Henriquez/Summary/42073,NA,79,205,81,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Adreian Payne,2009,/player/Adreian-Payne/Summary/9303,NA,81,215,84,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Adreian Payne,2009,/player/Adreian-Payne/Summary/9303,NA,81,215,84,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Adreian Payne,2014,/player/Adreian-Payne/Summary/9303,81,81.75,239,88,109,7.6,9.25,9.5,NA,NA,NA,NA,NA,NA,NA
Adrian Banks,2008,/player/Adrian-Banks/Summary/19735,74.5,75.5,183,75.75,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Adrian Oliver,2011,/player/Adrian-Oliver/Summary/6974,75,NA,198,78,98,NA,NA,NA,24.5,122.5,NA,NA,NA,12.06,3.52
A.D. Vassallo,2009,/player/AD-Vassallo/Summary/1696,77.5,78.75,233,82.25,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Aerick Sanders,2004,/player/Aerick-Sanders/Summary/9563,78.5,79.5,205,83.5,106,NA,NA,NA,24.5,130.5,30.5,136.5,9,11.98,3.37
Ahmad Nivins,2009,/player/Ahmad-Nivins/Summary/1689,80.75,82,230,84.75,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Ahmad Starks,2009,/player/Ahmad-Starks/Summary/9326,NA,66,163,71.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Ahmed Hamdy,2012,/player/Ahmed-Hamdy/Summary/25841,78.25,NA,224,85.25,106.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Ahmed Hill,2013,/player/Ahmed-Hill/Summary/52348,NA,76.5,192,78.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Ahmed Hill,2013,/player/Ahmed-Hill/Summary/52348,NA,76.5,192,78.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Ahmet Duran,2015,/player/Ahmet-Duran/Summary/76123,79.75,80.75,233,80.75,105.5,NA,NA,NA,22.5,128,24.5,130,NA,NA,3.87
Aliun Guo,2009,/player/Ailun-Guo/Summary/24099,NA,75.5,170,76.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
A.J. Abrams,2009,/player/AJ-Abrams/Summary/1725,71,72,156,74,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
A.J. Durham,2014,/player/AJ-Durham/Summary/89352,73,NA,147,76,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
A.J. Durham,2015,/player/AJ-Durham/Summary/89352,74,NA,153,77.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
A.J. English III,2016,/player/AJ-English-III/Summary/44580,74,75,182.2,82,98.5,5.3,8.75,8.5,NA,NA,NA,NA,NA,NA,NA
A.J. Graves,2008,/player/AJ-Graves/Summary/9431,72,73.5,155,73.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
A.J. Hammons,2011,/player/AJ-Hammons/Summary/24294,NA,84,278,87,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
A.J. Hammons,2011,/player/AJ-Hammons/Summary/24294,NA,84,278,87,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
A.J. Harris,2013,/player/AJ-Harris/Summary/73148,68,NA,149,72,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
A.J. Harris,2014,/player/AJ-Harris/Summary/73148,NA,69,156,72.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
A.J. Harris,2014,/player/AJ-Harris/Summary/73148,NA,69,156,72.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
A.J. Lapray,2012,/player/AJ-Lapray/Summary/56829,75.5,NA,182,76.25,99.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
A.J. Mathew,2013,/player/AJ-Mathew/Summary/31326,81.5,83,213,87.5,109.5,4.6,8.5,10,28,137.5,33,142.5,13,12.42,3.44
A.J. Price,2009,/player/AJ-Price/Summary/1656,72.5,74,193,75.75,97,12.4,NA,NA,26,123,31,128,11,10.99,3.22
A.J. Slaughter,2010,/player/AJ-Slaughter/Summary/10169,73,NA,174,76,96.25,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
A.J. Turner,2014,/player/AJ-Turner/Summary/73138,NA,78,177,79,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
A.J. Turner,2014,/player/AJ-Turner/Summary/73138,NA,78,177,79,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
A.J. Wilson,2015,/player/AJ-Wilson/Summary/107337,77,NA,182,81.5,103.5,NA,NA,NA,27.5,131,34,137.5,NA,12.35,3.62
Akil Mitchell,2013,/player/Akil-Mitchell/Summary/23547,NA,80.5,232,83.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Akil Mitchell,2013,/player/Akil-Mitchell/Summary/23547,NA,80.5,232,83.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Akil Mitchell,2014,/player/Akil-Mitchell/Summary/23547,79.75,NA,229,83.25,105.5,NA,NA,NA,31.5,137,NA,NA,NA,11.49,3.43
Akil Mitchell,2014,/player/Akil-Mitchell/Summary/23547,NA,NA,NA,NA,NA,NA,NA,NA,29.5,NA,35,NA,NA,11.41,3.47
Akil Mitchell,2015,/player/Akil-Mitchell/Summary/23547,79.5,80.75,245,83.5,105.5,NA,NA,NA,29,134.5,36,141.5,NA,11.49,3.52
Akin Akingbala,2006,/player/Akin-Akingbala/Summary/4850,81.5,82.5,228,86.75,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Akoy Agau,2012,/player/Akoy-Agau/Summary/43394,79,NA,237,86.25,108,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Alade Aminu,2009,/player/Alade-Aminu/Summary/1779,81,82.5,229,87,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Alan Anderson,2005,/player/Alan-Anderson/Summary/939,76.5,78,223,81.5,104,NA,NA,NA,26.5,130.5,30.5,134.5,10,10.32,3.27
Alan Daniels,2006,/player/Alan-Daniels/Summary/21571,76.5,78,182,80.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Alan Wiggins, Jr.",2007,/player/Alan-Wiggins-Jr/Summary/8661,79,80,234,82,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Alan Williams,2014,/player/Alan-Williams/Summary/31153,NA,80,264,85.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Alan Williams,2015,/player/Alan-Williams/Summary/31153,79.25,80.25,261,85.75,106.5,12,8.5,9.5,25.5,132,28.5,135,NA,12.07,3.5
Alan Williams,2015,/player/Alan-Williams/Summary/31153,79.25,80.25,261.4,85.75,106.5,12,8.5,9.5,NA,NA,NA,NA,NA,NA,NA
Alberto Diaz,2015,/player/Alberto-Diaz/Summary/27692,74,75,188,76,97.5,NA,NA,NA,24,121.5,27,124.5,NA,NA,3.56
Alec Brennan,2012,/player/Alec-Brennan/Summary/80705,81,NA,206,80.75,106.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Alec Brown,2011,/player/Alec-Brown/Summary/23740,NA,85,212,84,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Alec Brown,2014,/player/Alec-Brown/Summary/23740,84.25,85.25,231,85.5,109,7.7,9.25,8.75,27,136,30,139,NA,12.05,3.48
Alec Burks,2010,/player/Alec-Burks/Summary/4169,NA,77.5,191,82.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Alec Burks,2010,/player/Alec-Burks/Summary/4169,NA,77.5,191,82.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Alec Burks,2011,/player/Alec-Burks/Summary/4169,77,78,193,82,103.5,5.1,9,8.25,29,132.5,36,139.5,5,10.96,3.17
Alec Peters,2017,/player/Alec-Peters/Summary/57287,79.25,80.75,232,82.75,105,8.8,8.75,10,NA,NA,NA,NA,NA,NA,NA
Aleksa Ilic,2015,/player/Aleksa-Ilic/Summary/49527,79.25,80.25,178,84.5,108,NA,NA,NA,24.5,132.5,29,137,NA,NA,3.4
Aleksandar Capin,2004,/player/Aleksandar-Capin/Summary/25534,72,73.25,176,73.5,94,NA,NA,NA,23,117,29,123,4,11.5,3.27
