name,year,playerid,height_no_shoes,height_shoes,weight,wingspan,st_reach,body_fat,hand_len,hand_width,no_step_vert,no_step_vert_reach,max_vert,max_vert_reach,bench,agility,sprint
DaShaun Wood,2007,/player/DaShaun-Wood/Summary/1871,70.75,71.5,167,72.75,92,5.4,NA,NA,31.5,123.5,34.5,126.5,13,11.4,3.23
Dashawn McDowell,2015,/player/Dashawn-McDowell/Summary/86022,NA,76.5,178,75,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
DaShawn Robinson,2012,/player/DaShawn-Robinson/Summary/89992,73,NA,200,76.25,98,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
D'Aundray Brown,2012,/player/DAundray-Brown/Summary/15428,74.25,75.5,189,78.25,98.75,10,8,NA,31.3,130.05,36.8,135.55,12,11.4,3.25
Davante Gardner,2014,/player/Davante-Gardner/Summary/22408,78.75,NA,288,85.25,106,NA,NA,NA,21.5,127.5,NA,NA,NA,12.04,3.59
David Brembley,2015,/player/David-Brembley/Summary/43570,76.5,77.5,207,80.75,102,NA,NA,NA,21,123,26.5,128.5,NA,NA,3.58
David Caraher,2015,/player/David-Caraher/Summary/88788,77,NA,195,77,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
David Gomez,2008,/player/David-Gomez/Summary/8080,78.5,79.5,236,85.75,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
David Holston,2009,/player/David-Holston/Summary/13882,66,67,150,70.25,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
David Huertas,2009,/player/David-Huertas/Summary/4802,76.25,77,201,81,101,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
David Jelinek,2010,/player/David-Jelinek/Summary/27998,76.38,77.56,194,77.95,100.79,NA,NA,NA,24.4,125.19,34.6,135.39,NA,NA,NA
David Jelinek,2011,/player/David-Jelinek/Summary/27998,75.98,77.17,194,77.95,98.43,7.1,NA,NA,24.6,123.03,33.6,132.03,NA,NA,3.42
David Jelinek,2012,/player/David-Jelinek/Summary/27998,76.25,77.25,189,79,100.5,NA,NA,NA,26,126.5,32.5,133,NA,11.32,3.42
David Kool,2010,/player/David-Kool/Summary/3522,73.5,NA,213,74.5,94.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
David Laury,2015,/player/David-Laury/Summary/44581,79,NA,250,83.5,106,NA,NA,NA,24.5,130.5,NA,NA,NA,6.24,3.48
David Lee,2005,/player/David-Lee/Summary/164,79.75,81,230,84,106.5,NA,NA,NA,30.5,137,32.5,139,14,10.8,3.19
David Lighty,2011,/player/David-Lighty/Summary/3956,76.75,78.5,216,80,101,6.5,9,10,28.5,129.5,33,134,15,10.81,3.25
David Lucas,2005,/player/David-Lucas/Summary/1901,78.5,79.75,233,84,103.5,NA,NA,NA,NA,NA,NA,NA,17,NA,NA
David Michaels,2012,/player/David-Michaels/Summary/33294,78,NA,219,82.5,NA,NA,NA,NA,28.3,NA,NA,NA,NA,12.05,3.46
David Michineau,2014,/player/David-Michineau/Summary/29325,NA,NA,NA,NA,98,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
David Moss,2006,/player/David-Moss/Summary/1729,76.5,77.5,198,82,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
David Noel,2006,/player/David-Noel/Summary/99,77.75,78,228,81.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
David Noel,2006,/player/David-Noel/Summary/99,76.5,78,223,81.5,100,6.1,NA,NA,34.5,134.5,38.5,138.5,20,10.54,3.07
David Padgett,2008,/player/David-Padgett/Summary/796,82.25,83.5,240,85,109.5,9,NA,NA,24,133.5,28,137.5,17,12.45,3.45
David Simon,2004,/player/David-Simon/Summary/1888,80,81,253,87.5,109,NA,NA,NA,30,139,35,144,19,11.8,3.22
David Simon,2005,/player/David-Simon/Summary/1888,80,81.5,259,87.5,108,NA,NA,NA,28,136,33,141,18,11.98,3.44
David Sloan,2015,/player/David-Sloan/Summary/74459,69,70,163,74.5,92,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
David Sloan,2014,/player/David-Sloan/Summary/81699,68.5,70,150,74.5,92,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
David Sloan,2016,/player/David-Sloan/Summary/81699,NA,70,168,74.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
David Stockton,2014,/player/David-Stockton/Summary/8325,70,NA,160,75,91.5,NA,NA,NA,30.5,122,NA,NA,NA,11.14,3.31
David Teague,2007,/player/David-Teague/Summary/1927,76.5,77.5,191,77.75,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
David Wear,2015,/player/David-Wear/Summary/2207,80.5,82,224,81,105.5,NA,NA,NA,25.5,131,33,138.5,NA,12.01,3.58
David West,2003,/player/David-West/Summary/458,80.25,81.25,226,88.25,108.5,8,NA,NA,28.5,137,31.5,140,11,12.18,3.43
Davion Berry,2014,/player/Davion-Berry/Summary/31101,74.5,NA,183,78.75,99.5,NA,NA,NA,27,126.5,NA,NA,NA,11.12,3.42
Davion Berry,2015,/player/Davion-Berry/Summary/31101,74,75.25,192,78.5,97.5,NA,NA,NA,27.5,125,33.5,131,NA,12.11,3.27
Davion Mitchell,2015,/player/Davion-Mitchell/Summary/89964,73,NA,184,73,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Davis Geks,2015,/player/Davis-Geks/Summary/27871,74.5,75.5,185,76.25,98.5,NA,NA,NA,25,123.5,29.5,128,NA,NA,3.3
Davon Dillard,2013,/player/Davon-Dillard/Summary/83912,76,NA,203,78,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Davon Jefferson,2008,/player/Davon-Jefferson/Summary/1877,77.25,78.5,213,81.5,105,12,NA,NA,27,132,32,137,2,12.02,3.36
Davon Reed,2012,/player/Davon-Reed/Summary/41448,NA,77,196,82.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Davon Reed,2012,/player/Davon-Reed/Summary/41448,NA,77,196,82.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Davon Reed,2017,/player/Davon-Reed/Summary/41448,76.5,77.5,206.2,84,102,6.5,9.25,9.5,NA,NA,NA,NA,NA,NA,NA
Davon Reed,2016,/player/Davon-Reed/Summary/41448,76,NA,218.2,84,102,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
DaVonte Lacy,2015,/player/DaVonte-Lacy/Summary/30403,74.5,NA,207,77,97,NA,NA,NA,32.5,129.5,NA,NA,NA,5.64,3.23
Davon Usher,2014,/player/Davon-Usher/Summary/45849,76.25,NA,199,81.5,101,NA,NA,NA,26.5,127.5,NA,NA,NA,NA,3.46
Dawan Robinson,2006,/player/Dawan-Robinson/Summary/1850,72.5,73.25,189,76.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
De'Aaron Fox,2013,/player/DeAaron-Fox/Summary/59503,74,NA,158,76,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
De'Aaron Fox,2013,/player/DeAaron-Fox/Summary/59503,NA,74.5,166,77.5,100,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
De'Aaron Fox,2014,/player/DeAaron-Fox/Summary/59503,74,75.25,167,79,101,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
De'Aaron Fox,2014,/player/DeAaron-Fox/Summary/59503,NA,75.5,164,78,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
De'Aaron Fox,2014,/player/DeAaron-Fox/Summary/59503,NA,75.5,164,78,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
De'Aaron Fox,2015,/player/DeAaron-Fox/Summary/59503,NA,76,170,78,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
De'Aaron Fox,2016,/player/DeAaron-Fox/Summary/59503,NA,75,170,78,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
De'Aaron Fox,2015,/player/DeAaron-Fox/Summary/59503,74,NA,168,78.5,99.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
De'Aaron Fox,2017,/player/DeAaron-Fox/Summary/59503,74,75.25,169.6,78.5,100,4.5,8.5,8.5,NA,NA,NA,NA,NA,NA,NA
DeAndre Ayton,2014,/player/DeAndre-Ayton/Summary/74086,NA,84,220,88.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
DeAndre Ayton,2015,/player/DeAndre-Ayton/Summary/74086,83,NA,234,88.5,112.5,NA,NA,NA,28.5,141,34.5,147,NA,14.04,3.67
DeAndre' Bembry,2016,/player/DeAndre-Bembry/Summary/49891,76.25,77.75,206.6,81.25,101,7,8,9.25,NA,NA,NA,NA,NA,NA,NA
DeAndre Daniels,2010,/player/DeAndre-Daniels/Summary/24636,79,NA,193,85,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
DeAndre Daniels,2013,/player/DeAndre-Daniels/Summary/24636,NA,80.5,190,84.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
DeAndre Daniels,2014,/player/DeAndre-Daniels/Summary/24636,79.25,80.5,196,86,106.5,3.9,9.25,10.5,26.5,133,32,138.5,NA,11.46,3.44
DeAndre Hunter,2015,/player/DeAndre-Hunter/Summary/86000,78.5,NA,194,86,105.5,NA,NA,NA,22.5,128,26,131.5,NA,12.13,3.34
DeAndre Jordan,2008,/player/DeAndre-Jordan/Summary/802,81.75,83,250,90,113.5,7.5,NA,NA,26,139.5,30.5,144,8,12.3,3.27
DeAndre Kane,2014,/player/DeAndre-Kane/Summary/7818,74.75,76.5,200,80,99,5,8.25,9,31.5,130.5,35.5,134.5,NA,10.95,3.16
DeAndre Liggins,2011,/player/DeAndre-Liggins/Summary/5713,77,78.5,210,83.25,104,5.4,10,NA,29.5,133.5,32.5,136.5,NA,NA,4.04
DeAndre Liggins,2011,/player/DeAndre-Liggins/Summary/5713,77,78.25,202,83,103.5,5,8.75,10,27,130.5,31,134.5,6,NA,3.33
De'Angelo Alexander,2007,/player/DeAngelo-Alexander/Summary/1710,76,77.5,220,82.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
DeAngelo Casto,2011,/player/DeAngelo-Casto/Summary/4715,79.5,81,240,86.5,104.5,8.4,9,NA,31.5,136,36.5,141,NA,8.75,4.06
DeAundre Ballard,2015,/player/DeAundre-Ballard/Summary/88783,75,NA,192,79,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Dedric Lawson,2013,/player/Dedric-Lawson/Summary/73141,79,NA,202,85,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Dedric Lawson,2014,/player/Dedric-Lawson/Summary/73141,NA,80,209,85.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Dedric Lawson,2016,/player/Dedric-Lawson/Summary/73141,79,80,224.8,86.5,106.5,11.05,9.5,9.5,NA,NA,NA,NA,NA,NA,NA
Dedric Lawson,2016,/player/Dedric-Lawson/Summary/73141,78.75,NA,236.8,86.5,108,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Dee Bost,2012,/player/Dee-Bost/Summary/4806,73.75,74.75,174,75.5,96,10.5,8.25,NA,30.5,126.5,35.5,131.5,9,11.59,3.18
Dee Brown,2005,/player/Dee-Brown/Summary/111,71,72,179,74,94,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Dejan Musli,2010,/player/Dejan-Musli/Summary/9277,83.07,84.65,248,87.01,111.81,NA,NA,NA,24.4,136.21,28.3,140.11,NA,NA,NA
Dejan Musli,2011,/player/Dejan-Musli/Summary/9277,83.07,84.25,262,87.01,108.27,13.7,NA,NA,20.9,129.17,31.2,139.47,NA,NA,3.55
Dejan Todorovic,2015,/player/Dejan-Todorovic/Summary/39611,77.5,78.75,200,78.5,102,NA,NA,NA,27,129,32.5,134.5,NA,NA,3.21
Deji Akindele,2005,/player/Deji-Akindele/Summary/1728,81.5,83,236,87,108.5,NA,NA,NA,30.5,139,32.5,141,13,12.58,3.35
DeJon Jarreau,2015,/player/DeJon-Jarreau/Summary/88751,NA,77.5,153,79,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Dejounte Murray,2014,/player/Dejounte-Murray/Summary/73136,NA,77,162,81.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Dejounte Murray,2014,/player/Dejounte-Murray/Summary/73136,NA,77,162,81.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
DeJuan Blair,2009,/player/DeJuan-Blair/Summary/1611,77.25,78.5,277,86,106.5,12,NA,NA,26,132.5,33,139.5,18,11.5,3.45
Delonte West,2004,/player/Delonte-West/Summary/256,73.5,74.75,183,78,99.5,NA,NA,NA,30,129.5,35,134.5,12,11.2,3.15
Delon Wright,2014,/player/Delon-Wright/Summary/56842,NA,77,179,78.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Delon Wright,2014,/player/Delon-Wright/Summary/56842,NA,77,179,78.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Delon Wright,2015,/player/Delon-Wright/Summary/56842,76.25,77.5,181,79.5,101.5,6.6,8,8.5,29.5,131,31,132.5,NA,11.21,3.29
Delon Wright,2015,/player/Delon-Wright/Summary/56842,76.25,77.5,181.4,79.5,101.5,6.6,8,8.5,NA,NA,NA,NA,NA,NA,NA
Delroy James,2011,/player/Delroy-James/Summary/10632,78.25,NA,225,86,105,NA,NA,NA,27,132,NA,NA,NA,11.77,3.27
Delroy James,2011,/player/Delroy-James/Summary/10632,78,79,225,85.5,103.5,5.5,9,NA,32.5,136,36.5,140,NA,8.99,3.89
Delvon Johnson,2011,/player/Delvon-Johnson/Summary/5535,79,NA,232,87,107,NA,NA,NA,28,135,NA,NA,NA,12.12,3.32
Delvon Roe,2009,/player/Delvon-Roe/Summary/2358,NA,79,229,79,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
DeMarcus Cousins,2010,/player/DeMarcus-Cousins/Summary/2192,81.5,82.75,292,89.75,113,16.4,9.25,10,23.5,136.5,27.5,140.5,NA,11.4,3.55
DeMarcus Nelson,2008,/player/DeMarcus-Nelson/Summary/872,73,74.25,196,82,98.5,4.5,NA,NA,34.5,133,38.5,137,19,10.54,3.13
DeMar DeRozan,2009,/player/DeMar-DeRozan/Summary/1605,77.5,78.5,211,81,102.5,4.9,NA,NA,29,131.5,38.5,141,5,11.88,3.31
DeMarre Carroll,2009,/player/DeMarre-Carroll/Summary/1631,79.25,81,210,82,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
DeMarre Carroll,2009,/player/DeMarre-Carroll/Summary/1631,78.25,79.75,207,82,105,6.3,NA,NA,NA,NA,NA,NA,NA,NA,NA
Demetric Bennett,2008,/player/Demetric-Bennett/Summary/1938,75.75,76.5,216,78.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Demetri McCamey,2009,/player/Demetri-McCamey/Summary/2506,NA,74.5,201,76.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Demetri McCamey,2010,/player/Demetri-McCamey/Summary/2506,NA,75,203,76.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Demetri McCamey,2011,/player/Demetri-McCamey/Summary/2506,NA,75,203,76.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Demetri McCamey,2011,/player/Demetri-McCamey/Summary/2506,73.75,75.25,204,78.25,99.5,6.1,8.5,9,27,126.5,33,132.5,NA,11.55,3.19
Demetris Nichols,2007,/player/Demetris-Nichols/Summary/16,78.25,79.5,211,84.25,105,6.2,NA,NA,28.5,133.5,32.5,137.5,16,10.39,3.38
Demetrius Conger,2013,/player/Demetrius-Conger/Summary/10816,76.75,78,214,82.75,104,6.6,8.5,9.25,27.5,131.5,32.5,136.5,16,12.1,3.39
Demetrius Jackson,2013,/player/Demetrius-Jackson/Summary/43395,NA,73,194,76.75,96,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Demetrius Jackson,2016,/player/Demetrius-Jackson/Summary/43395,72,73.25,193.8,77.5,93,6.5,8.25,9,NA,NA,NA,NA,NA,NA,NA
De'Mon Brooks,2014,/player/DeMon-Brooks/Summary/22910,77.5,NA,217,82,103.5,NA,NA,NA,26.5,130,NA,NA,NA,11.51,3.38
Demonte Harper,2011,/player/Demonte-Harper/Summary/12267,74.5,NA,188,79.5,99.5,NA,NA,NA,32,131.5,NA,NA,NA,13.63,3.15
Demontez Stitt,2011,/player/Demontez-Stitt/Summary/3677,72.75,NA,162,75.5,95.5,NA,NA,NA,29,124.5,NA,NA,NA,11.93,3.35
Deng Adel,2014,/player/Deng-Adel/Summary/73139,NA,79,186,81.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Deng Adel,2016,/player/Deng-Adel/Summary/73139,77.5,NA,196.6,83,104.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Deng Gai,2004,/player/Deng-Gai/Summary/1126,79.5,81,218,88,110.5,NA,NA,NA,28.5,139,33,143.5,12,12.99,3.35
Deng Gai,2005,/player/Deng-Gai/Summary/1126,79.75,81.25,214,88.5,110.5,NA,NA,NA,31.5,142,35.5,146,11,12.51,3.27
Deng Leek,2010,/player/Deng-Leek/Summary/80788,NA,82.5,220,86,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Deng Leek,2010,/player/Deng-Leek/Summary/80788,NA,82,220,86,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Denham Brown,2006,/player/Denham-Brown/Summary/107,76,77,218,81.5,102.5,9,NA,NA,28,130.5,34.5,137,12,11.42,3.25
Denis Clemente,2009,/player/Denis-Clemente/Summary/4066,NA,72,163,71.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Denis Clemente,2010,/player/Denis-Clemente/Summary/4066,71.75,NA,172,74,94.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Denis Krestinin,2015,/player/Denis-Krestinin/Summary/27682,78.5,79.5,210,80.25,102.5,NA,NA,NA,31.5,134,35.5,138,NA,NA,3.32
Dennis Schroder,2013,/player/Dennis-Schroder/Summary/26503,NA,74,168,79.25,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Dennis Schroder,2013,/player/Dennis-Schroder/Summary/26503,73,74,165,79.75,98,4.1,8.75,10.5,30,128,34,132,1,11.09,3.21
Dennis Smith,2013,/player/Dennis-Smith/Summary/72281,74,NA,160,75,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Dennis Smith,2014,/player/Dennis-Smith/Summary/72281,72.5,73.5,175,75,97,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Dennis Smith,2015,/player/Dennis-Smith/Summary/72281,72.75,NA,181,75.5,97.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Dennis Smith,2016,/player/Dennis-Smith/Summary/72281,73.25,NA,190,77,97,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Denys Lukashov,2011,/player/Denys-Lukashov/Summary/26145,72.83,74.02,189,74.8,90.16,9.2,NA,NA,29.1,119.26,32.8,122.96,NA,NA,3.38
Denzel Bowles,2010,/player/Denzel-Bowles/Summary/4286,NA,82,247,84,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Denzel Livingston,2015,/player/Denzel-Livingston/Summary/58882,75.5,NA,173,81,100.5,NA,NA,NA,27.5,128,NA,NA,NA,6.07,3.38
Denzel Valentine,2015,/player/Denzel-Valentine/Summary/44077,76,78,220,82,103,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Denzel Valentine,2015,/player/Denzel-Valentine/Summary/44077,NA,77.5,223,81.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Denzel Valentine,2016,/player/Denzel-Valentine/Summary/44077,76,77.75,210.4,82.75,102,9.2,8.5,9.75,NA,NA,NA,NA,NA,NA,NA
Deonte Burton,2012,/player/Deonte-Burton/Summary/23388,NA,73,185,78,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Deonte Burton,2014,/player/Deonte-Burton/Summary/23388,72,73.25,193,79,97.5,7.7,8.25,8,29,126.5,39.5,137,NA,11.28,3.28
Deon Thompson,2010,/player/Deon-Thompson/Summary/2324,79,NA,250,86.5,107.25,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
DeQuan Jones,2009,/player/DeQuan-Jones/Summary/2365,NA,78,212,79,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Derek Funderburk,2014,/player/Derek-Funderburk/Summary/85607,80,NA,201,82,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Derek Funderburk,2015,/player/Derek-Funderburk/Summary/85607,NA,81.5,201,82.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Derek Raivio,2007,/player/Derek-Raivio/Summary/8343,73.5,74.5,169,74.25,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Derek Willis,2014,/player/Derek-Willis/Summary/28227,80,81.25,216,84,103,8.3,9.25,9.75,28.5,131.5,35.5,138.5,12,11.31,3.36
Derek Willis,2015,/player/Derek-Willis/Summary/28227,80,81.25,220,84,103,8.1,9.25,9.75,30,133,36,139,7,10.79,3.35
De'Riante Jenkins,2015,/player/DeRiante-Jenkins/Summary/76742,76.75,NA,177,81,103.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
De'Ron Davis,2015,/player/DeRon-Davis/Summary/54840,80,NA,255,87,108.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Deron Washington,2008,/player/Deron-Washington/Summary/824,78,79.25,194,81,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Deron Washington,2008,/player/Deron-Washington/Summary/824,77.25,78.25,199,81,102.5,7.2,NA,NA,34,136.5,40,142.5,7,11.03,3.09
Deron Williams,2005,/player/Deron-Williams/Summary/60,73.75,74.75,202,78.25,98,NA,NA,NA,30,128,35,133,15,10.83,3.25
Derrick Brown,2009,/player/Derrick-Brown/Summary/1621,79.5,80.5,225,86.5,107.5,8.6,NA,NA,30.5,138,35.5,143,20,11.26,3.13
Derrick Caracter,2010,/player/Derrick-Caracter/Summary/2581,80.25,81.5,280,84.25,107.25,12.8,9,10.25,25,132.25,30.5,137.75,22,12.78,3.61
Derrick Favors,2010,/player/Derrick-Favors/Summary/2191,80.75,82.25,245,88,110,6.5,8.75,9.25,31.5,141.5,35.5,145.5,14,11.74,3.25
Derrick Griffin,2012,/player/Derrick-Griffin/Summary/28286,NA,79.5,224,83.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Derrick Griffin,2012,/player/Derrick-Griffin/Summary/28286,NA,79.5,224,83.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Derrick Jones,2013,/player/Derrick-Jones/Summary/59508,77,78,180,83,102.25,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Derrick Jones,2013,/player/Derrick-Jones/Summary/59508,NA,77.5,183,84,105,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Derrick Jones,2014,/player/Derrick-Jones/Summary/59508,NA,78.5,185,83,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Derrick Low,2008,/player/Derrick-Low/Summary/1862,73.25,74,195,73.75,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Derrick Randall,2010,/player/Derrick-Randall/Summary/28967,80,NA,224,84,106,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Derrick Rose,2007,/player/Derrick-Rose/Summary/756,NA,75.5,NA,79,99,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Derrick Rose,2008,/player/Derrick-Rose/Summary/756,73.5,74.5,196,80,98.5,4.6,NA,NA,34.5,133,40,138.5,10,11.69,3.05
Derrick Walker,2014,/player/Derrick-Walker/Summary/88776,78,NA,209,82,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Derrick Walton, Jr.",2017,/player/Derrick-Walton-Jr/Summary/37900,71,72.75,188.6,74.5,95,5.8,8,8.5,NA,NA,NA,NA,NA,NA,NA
Derrick White,2017,/player/Derrick-White/Summary/61344,75.25,76.5,189.8,79.5,101.5,6.2,8.25,8.5,NA,NA,NA,NA,NA,NA,NA
Derrick Williams,2010,/player/Derrick-Williams/Summary/6644,NA,81,231,84,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Derrick Williams,2010,/player/Derrick-Williams/Summary/6644,NA,81,231,84,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Derrick Williams,2011,/player/Derrick-Williams/Summary/6644,79.25,80.75,248,85.5,108,10.8,9,9.75,29,137,34.5,142.5,19,11.03,3.23
Derrick Wilson,2010,/player/Derrick-Wilson/Summary/30443,72.5,NA,216,79,94,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Derrick Zimmerman,2003,/player/Derrick-Zimmerman/Summary/473,73,74.25,190,81,98.5,5.3,NA,NA,34,132.5,40.5,139,13,11.09,3.1
Derryck Thornton,2013,/player/Derryck-Thornton/Summary/54837,NA,72.5,159,73,96,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Derryck Thornton,2014,/player/Derryck-Thornton/Summary/54837,72,73,167,74,97,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
D'Erryl Williams,2012,/player/DErryl-Williams/Summary/57206,73.5,NA,196,78.75,99,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Derwin Kitchen,2011,/player/Derwin-Kitchen/Summary/3692,74.5,75.5,195,81,98.5,8.8,9,NA,29,127.5,34,132.5,NA,8.6,3.92
Deshaun Thomas,2009,/player/Deshaun-Thomas/Summary/2381,NA,79,221,80,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Deshaun Thomas,2009,/player/Deshaun-Thomas/Summary/2381,NA,79,221,80,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Deshaun Thomas,2012,/player/Deshaun-Thomas/Summary/2381,NA,79,221,81,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Deshaun Thomas,2013,/player/Deshaun-Thomas/Summary/2381,77,79,220,82,104,9.1,8,8.75,28.5,132.5,32,136,5,12.94,3.53
DeShawn Painter,2013,/player/DeShawn-Painter/Summary/3789,79.5,NA,226,85.5,107.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
DeShawn Sims,2009,/player/DeShawn-Sims/Summary/2388,NA,80,230,81,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
DeShawn Sims,2009,/player/DeShawn-Sims/Summary/2388,NA,80,230,81,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
DeShawn Sims,2010,/player/DeShawn-Sims/Summary/2388,78.75,NA,230,84,104.25,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Desmond Hubert,2010,/player/Desmond-Hubert/Summary/28811,81,NA,195,86,107.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Desmond Hubert,2010,/player/Desmond-Hubert/Summary/28811,NA,80,195,85,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Desmon Farmer,2004,/player/Desmon-Farmer/Summary/874,76.5,77.75,214,80.5,103,NA,NA,NA,24,127,31,134,12,10.89,3.2
Detrick Mostella,2012,/player/Detrick-Mostella/Summary/81048,73.25,NA,158,77.75,98,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Deuce Bello,2010,/player/Deuce-Bello/Summary/24186,75,NA,175,83,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Devan Downey,2009,/player/Devan-Downey/Summary/2529,NA,69.5,173,72,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
