,name,season,gp,mp,fgm,fga,fg_pct,fg3m,fg3a,fg3_pct,ftm,fta,ft_pct,oreb,dreb,reb,ast,stl,blk,pf,tov,pts,mp_tot,fgm_tot,fga_tot,fg3m_tot,fg3a_tot,ftm_tot,fta_tot,oreb_tot,dreb_tot,reb_tot,ast_tot,stl_tot,blk_tot,pf_tot,tov_tot,pts_tot,ts_pct,efg_pct,oreb_pct,dreb_pct,reb_pct,ast_pct,tov_pct,stl_pct,blk_pct,usg_pct,dbl_dbl,tpl_dbl,pts40,pts20,ast20,ast_to,stl_to,ft_fga,ff,season_count
4,AJ Hammons,2016,22,7.2727272727272725,0.7727272727272727,1.9090909090909092,0.2637727272727273,0.22727272727272727,0.45454545454545453,0.17422727272727273,0.4090909090909091,0.9090909090909091,0.17045454545454544,0.36363636363636365,1.2727272727272727,1.6363636363636365,0.18181818181818182,0.045454545454545456,0.5909090909090909,0.9545454545454546,0.45454545454545453,2.1818181818181817,160,17,42,5,10,9,20,8,28,36.0,4,1,13,21,10,48,0.3348716160582461,0.3137445887445887,7.191344973114928,19.288240459503957,13.239792716309443,9.133515607199818,10.149950246104094,0.09253400336654831,6.190336154219235,18.35799369403005,0,0,0,0,0,0.4,0.1,0.47619047619047616,4.172682963075416,1
5,AJ Price,2009,56,15.410714285714286,2.5892857142857144,6.321428571428571,0.3880535714285714,1.0714285714285714,3.107142857142857,0.30558928571428573,1.0714285714285714,1.3392857142857142,0.4253035714285714,0.21428571428571427,1.3571428571428572,1.5714285714285714,1.8928571428571428,0.625,0.05357142857142857,0.9464285714285714,1.0535714285714286,7.321428571428571,863,145,354,60,174,60,75,12,76,88.0,106,35,3,53,59,410,0.5092834176946958,0.4746148940345368,1.9894006831836555,11.214163650643709,6.601782166913681,18.24297563926908,10.567463704064496,1.9008985762112136,0.35102963176106783,22.82351856121151,0,0,0,1,1,1.7966101694915255,0.5932203389830508,0.211864406779661,3.2613716812836184,1
6,AJ Price,2010,50,15.98,2.28,6.4,0.35263999999999995,0.82,2.98,0.25262,1.08,1.62,0.43166,0.32,1.12,1.44,2.22,0.58,0.02,1.22,1.06,6.46,799,114,320,41,149,54,81,16,56,72.0,111,29,1,61,53,323,0.4501873638255368,0.41818109668109676,2.0375834453874666,7.870526055433131,4.9540547504102985,22.1194216732092,13.57943952607158,1.7657303693458601,0.07183308494783905,23.621688212741674,0,0,0,0,0,2.0943396226415096,0.5471698113207547,0.253125,4.007617759267827,2
7,AJ Price,2011,44,12.886363636363637,1.3409090909090908,3.9545454545454546,0.28438636363636366,0.5909090909090909,2.0,0.21059090909090908,0.6363636363636364,0.7954545454545454,0.26704545454545453,0.29545454545454547,1.0909090909090908,1.3863636363636365,1.9545454545454546,0.45454545454545453,0.045454545454545456,0.6818181818181818,0.7272727272727273,3.909090909090909,567,59,174,26,88,28,35,13,48,61.0,86,20,2,30,32,172,0.37886525031736634,0.34970238095238093,1.9246732851525714,9.20727573250631,5.565974508829441,25.312245240793516,14.141167418549674,1.798257085454335,0.18652113450002955,17.30491013273538,0,0,0,0,0,2.6875,0.625,0.20114942528735633,4.090279877841988,3
8,AJ Price,2012,57,22.385964912280702,2.824561403508772,7.245614035087719,0.37089473684210544,1.2280701754385965,3.508771929824561,0.2992807017543859,0.8596491228070176,1.087719298245614,0.2994035087719299,0.3508771929824561,1.6491228070175439,2.0,3.5964912280701755,0.5789473684210527,0.05263157894736842,1.280701754385965,1.1228070175438596,7.7368421052631575,1276,161,413,70,200,49,62,20,94,114.0,205,33,3,73,64,441,0.481404942815548,0.4504454509485469,1.7770402716285778,8.059967020701963,4.918503646165271,25.971992926724553,12.547683608728988,1.294286332457032,0.1672597487384,18.189504937022537,1,0,0,2,2,3.203125,0.515625,0.15012106537530268,3.695025296693677,4
9,AJ Price,2013,28,3.5357142857142856,0.6785714285714286,1.6428571428571428,0.27382142857142855,0.21428571428571427,0.7857142857142857,0.13689285714285715,0.0,0.07142857142857142,0.0,0.03571428571428571,0.32142857142857145,0.35714285714285715,0.4642857142857143,0.03571428571428571,0.0,0.17857142857142858,0.25,1.5714285714285714,99,19,46,6,22,0,2,1,9,10.0,13,1,0,5,7,44,0.31613372093023256,0.3199404761904762,0.9699675324675325,5.7488938487173105,3.3594306905924216,18.987139814778555,10.358751608751609,0.5091778784395917,0.0,22.481252475411342,0,0,0,0,0,1.8571428571428572,0.14285714285714285,0.043478260869565216,2.9181793382880343,5
10,AJ Price,2014,26,12.461538461538462,1.9615384615384615,5.269230769230769,0.2563461538461539,0.5769230769230769,2.1923076923076925,0.14100000000000001,0.6153846153846154,0.9230769230769231,0.17811538461538462,0.23076923076923078,1.0,1.2307692307692308,1.7692307692307692,0.2692307692307692,0.0,0.5769230769230769,0.5384615384615384,5.115384615384615,324,51,137,15,57,16,24,6,26,32.0,46,7,0,15,14,133,0.3042202029064305,0.2904109779109779,2.6647651048201015,8.795704070911812,5.730234587865956,21.87770200808715,6.443672540447595,0.7432239857939524,0.0,18.89172048839662,0,0,0,2,2,3.2857142857142856,0.5,0.17518248175182483,2.286312919503084,6
11,Aaron Brooks,2007,51,11.941176470588236,1.8235294117647058,4.411764705882353,0.370235294117647,0.7058823529411765,2.1372549019607843,0.2854509803921569,0.8235294117647058,0.9607843137254902,0.330078431372549,0.2549019607843137,0.8431372549019608,1.0980392156862746,1.7058823529411764,0.2549019607843137,0.09803921568627451,1.3529411764705883,0.8627450980392157,5.176470588235294,609,93,225,36,109,42,49,13,43,56.0,87,13,5,69,44,264,0.5052455507181729,0.44870448179271705,2.593103580290343,6.327095828180396,4.46009970423537,25.840689904387943,15.415050493601003,0.9064751085737605,0.6439541088866598,24.880769347837525,0,0,0,1,1,1.9772727272727273,0.29545454545454547,0.21777777777777776,4.584531798842073,1
12,Aaron Brooks,2008,80,24.95,3.95,9.7875,0.380125,1.4125,3.8625,0.34822499999999984,1.8625,2.15,0.5838249999999999,0.4125,1.55,1.9625,2.975,0.575,0.1,1.9,1.5625,11.175,1996,316,783,113,309,149,172,33,124,157.0,238,46,8,152,125,894,0.4934902674773475,0.4478525755934809,1.7235188163928394,7.191506910449303,4.457512863421071,20.106414320187774,13.02583648416483,1.1808001249251405,0.3182527553688776,23.29714797724671,2,0,0,10,10,1.904,0.368,0.21966794380587484,3.8132541061280496,2
13,Aaron Brooks,2009,82,35.59756097560975,7.012195121951219,16.23170731707317,0.4336097560975609,2.548780487804878,6.402439024390244,0.38523170731707296,2.9878048780487805,3.6341463414634148,0.7716951219512196,0.6585365853658537,1.9634146341463414,2.6219512195121952,5.2926829268292686,0.8414634146341463,0.17073170731707318,2.426829268292683,2.8292682926829267,19.5609756097561,2919,575,1331,209,525,245,298,54,161,215.0,434,69,14,199,232,1604,0.5478910345030782,0.5123675331367459,2.006097600501831,6.338278102160502,4.172187851331166,25.31489415459577,13.991017966465073,1.2105519196123786,0.36746718254494903,25.767532573459263,6,0,1,39,39,1.8706896551724137,0.2974137931034483,0.22389181066867017,4.137504796571633,3
